Mm_S_epi_Tc17_v_Tc1
Ccr6
Il17f
Rorc
Hlf
1300014I06Rik
Il17re
Cd83
Il23r
Sdc1
Il22
Odc1
Tmem176a
Il1r2
Tmem176b
Tmprss3
Sdc4
Ckb
St6galnac2
Tff1
Tnfsf8
Cd8a
Cd8b
Cd3e
Cd3g
Cd3d
